,total_sqft,bath,balcony,price,site_location,bhk
60,1150.0,2.0,0.0,36.8,Alandi Road,2
61,2144.6,4.0,2.0,145.0,Alandi Road,3
63,1856.0,3.0,2.0,135.0,Alandi Road,3
64,1800.0,4.0,1.0,125.0,Alandi Road,3
65,1338.0,2.0,1.0,103.0,Alandi Road,2
67,2480.0,2.0,1.0,160.0,Alandi Road,2
68,3596.0,5.0,1.0,279.0,Alandi Road,4
70,2400.0,5.0,2.0,200.0,Alandi Road,5
71,1565.0,2.0,2.0,69.0,Alandi Road,2
72,1185.0,2.0,1.0,51.15,Alandi Road,2
73,1091.0,2.0,1.0,33.82,Alandi Road,2
74,1135.0,2.0,2.0,68.0,Alandi Road,2
75,2658.0,5.0,3.0,189.0,Alandi Road,4
76,1830.0,4.0,2.0,150.0,Alandi Road,3
77,1685.0,3.0,3.0,115.0,Alandi Road,3
78,890.0,2.0,1.0,40.0,Alandi Road,2
79,1260.0,2.0,1.0,75.0,Alandi Road,3
80,674.0,1.0,1.0,19.9,Alandi Road,2
81,1049.0,2.0,1.0,51.0,Alandi Road,2
82,945.0,2.0,1.0,35.0,Alandi Road,2
84,1194.0,2.0,1.0,51.0,Alandi Road,2
85,1189.0,2.0,1.0,45.0,Alandi Road,2
86,1339.0,2.0,1.0,53.56,Alandi Road,2
87,1350.0,2.0,3.0,68.0,Alandi Road,2
89,1244.0,2.0,2.0,88.0,Alandi Road,2
90,1719.0,3.0,2.0,135.0,Alandi Road,3
91,416.0,1.0,1.0,17.19,Alandi Road,1
92,1041.0,2.0,2.0,54.0,Alandi Road,2
93,705.0,1.0,1.0,65.0,Alandi Road,1
96,1027.0,2.0,2.0,44.0,Alandi Road,2
97,1801.0,3.0,2.0,115.0,Alandi Road,3
98,1205.0,2.0,2.0,37.0,Alandi Road,2
99,1105.0,2.0,1.0,39.5,Alandi Road,2
100,1089.0,2.0,1.0,40.0,Alandi Road,2
101,925.0,2.0,1.0,49.82,Alandi Road,3
102,1255.0,3.0,1.0,90.0,Alandi Road,3
103,1200.0,2.0,2.0,45.0,Alandi Road,2
105,1200.0,2.0,0.0,75.0,Alandi Road,2
108,950.0,2.0,1.0,40.0,Ambegaon Budruk,2
109,1200.0,2.0,0.0,65.0,Ambegaon Budruk,2
110,1180.0,2.0,2.0,78.34,Ambegaon Budruk,3
111,1215.0,2.0,1.0,67.0,Ambegaon Budruk,2
112,884.0,2.0,1.0,41.1,Ambegaon Budruk,2
113,1036.0,2.0,1.0,50.0,Ambegaon Budruk,2
114,6000.0,5.0,3.0,400.0,Ambegaon Budruk,4
115,1240.0,2.0,1.0,60.0,Ambegaon Budruk,2
116,2060.0,3.0,1.0,149.0,Ambegaon Budruk,3
117,1890.0,4.0,3.0,127.0,Ambegaon Budruk,3
118,1330.0,2.0,1.0,86.98,Ambegaon Budruk,2
119,1115.0,2.0,2.0,50.0,Ambegaon Budruk,2
120,1045.0,2.0,1.0,45.0,Ambegaon Budruk,2
121,1070.0,2.0,1.0,54.0,Ambegaon Budruk,2
122,1340.0,2.0,1.0,100.0,Ambegaon Budruk,3
123,1500.0,2.0,1.0,143.0,Ambegaon Budruk,3
124,3122.0,6.0,2.0,245.0,Ambegaon Budruk,4
125,1089.0,2.0,1.0,43.55,Ambegaon Budruk,2
126,3250.0,4.0,3.0,230.0,Ambegaon Budruk,4
129,780.0,2.0,2.0,25.0,Ambegaon Budruk,2
131,1065.0,2.0,3.0,50.0,Ambegaon Budruk,2
132,1351.0,2.0,1.0,53.0,Ambegaon Budruk,1
133,1146.0,2.0,1.0,39.5,Ambegaon Budruk,2
134,1000.0,2.0,1.0,60.0,Ambegaon Budruk,2
135,1665.0,3.0,2.0,86.91,Ambegaon Budruk,3
136,1274.0,2.0,2.0,48.42,Ambegaon Budruk,2
137,1819.18,3.0,1.0,160.0,Ambegaon Budruk,3
138,1444.0,2.0,1.0,80.0,Ambegaon Budruk,3
139,1263.0,2.0,1.0,78.0,Ambegaon Budruk,2
140,1690.0,3.0,2.0,112.0,Ambegaon Budruk,3
141,1500.0,3.0,3.0,95.0,Ambegaon Budruk,3
142,709.0,1.0,0.0,34.385,Ambegaon Budruk,1
144,1000.0,2.0,1.0,68.0,Ambegaon Budruk,2
145,1360.0,2.0,1.0,103.0,Ambegaon Budruk,2
146,1140.0,2.0,2.0,52.0,Ambegaon Budruk,2
149,1174.0,2.0,1.0,75.0,Ambegaon Budruk,2
150,1075.0,2.0,2.0,30.0,Ambegaon Budruk,2
152,1390.0,2.0,2.0,65.0,Ambegaon Budruk,2
153,1010.0,2.0,1.0,35.0,Ambegaon Budruk,2
154,1250.0,2.0,1.0,60.0,Ambegaon Budruk,2
155,2400.0,5.0,2.0,190.0,Ambegaon Budruk,4
157,1200.0,2.0,2.0,52.5,Ambegaon Budruk,2
158,919.0,2.0,2.0,34.0,Ambegaon Budruk,2
159,1242.0,2.0,2.0,65.0,Ambegaon Budruk,2
160,913.0,2.0,1.0,36.0,Ambegaon Budruk,2
161,883.0,2.0,1.0,45.0,Ambegaon Budruk,2
162,1724.0,3.0,1.0,146.0,Ambegaon Budruk,3
164,1444.0,2.0,2.0,71.5,Ambegaon Budruk,3
165,1395.0,2.0,0.0,75.0,Ambegaon Budruk,2
166,600.0,1.0,0.0,47.0,Ambegaon Budruk,1
168,1258.0,2.0,0.0,58.0,Ambegaon Budruk,2
170,750.0,2.0,1.0,36.5,Ambegaon Budruk,2
171,2600.0,3.0,2.0,147.0,Ambegaon Budruk,3
172,900.0,2.0,0.0,55.0,Ambegaon Budruk,2
173,500.0,1.0,1.0,20.0,Ambegaon Budruk,1
174,1089.0,2.0,1.0,49.0,Ambegaon Budruk,2
175,1086.0,2.0,2.0,44.5,Ambegaon Budruk,2
176,1512.0,3.0,2.0,103.0,Ambegaon Budruk,3
177,1500.0,3.0,1.0,72.99,Ambegaon Budruk,3
178,2000.0,2.0,0.0,180.0,Ambegaon Budruk,3
179,1215.0,2.0,1.0,68.0,Ambegaon Budruk,2
180,2400.0,2.0,1.0,125.0,Ambegaon Budruk,3
181,2210.0,3.0,3.0,165.0,Ambegaon Budruk,3
182,1800.0,3.0,2.0,93.0,Ambegaon Budruk,3
183,3122.0,6.0,2.0,245.0,Ambegaon Budruk,4
184,1600.0,2.0,1.0,90.0,Ambegaon Budruk,3
186,2275.0,4.0,2.0,185.0,Ambegaon Budruk,3
187,900.0,2.0,1.0,72.0,Ambegaon Budruk,2
188,1398.0,2.0,1.0,97.0,Ambegaon Budruk,2
189,3270.0,4.0,3.0,205.0,Ambegaon Budruk,4
190,1340.0,2.0,3.0,85.0,Ambegaon Budruk,2
191,1350.0,3.0,2.0,70.0,Ambegaon Budruk,3
192,2650.0,4.0,0.0,175.0,Ambegaon Budruk,3
193,500.0,1.0,1.0,33.0,Ambegaon Budruk,1
194,984.0,2.0,1.0,45.91,Ambegaon Budruk,2
195,1725.0,3.0,2.0,106.0,Ambegaon Budruk,3
196,1035.0,2.0,1.0,39.0,Ambegaon Budruk,2
200,1107.83,2.0,1.0,41.51,Ambegaon Budruk,2
202,1220.0,2.0,2.0,62.0,Ambegaon Budruk,2
203,1200.0,2.0,2.0,45.0,Ambegaon Budruk,2
204,1310.0,2.0,3.0,60.0,Ambegaon Budruk,2
205,1315.0,2.0,3.0,55.0,Ambegaon Budruk,2
206,1450.0,2.0,2.0,73.0,Ambegaon Budruk,3
207,1220.0,2.0,1.0,55.0,Ambegaon Budruk,2
208,1200.0,1.0,0.0,50.0,Ambegaon Budruk,2
209,1150.0,2.0,1.0,45.99,Ambegaon Budruk,2
210,1165.0,2.0,1.0,52.0,Ambegaon Budruk,2
211,1160.0,2.0,2.0,49.0,Ambegaon Budruk,2
212,925.0,2.0,1.0,35.0,Ambegaon Budruk,2
213,1516.0,3.0,1.0,147.0,Ambegaon Budruk,3
214,1790.0,3.0,2.0,120.0,Ambegaon Budruk,3
215,1112.0,2.0,1.0,58.0,Ambegaon Budruk,2
216,1490.0,3.0,0.0,85.0,Ambegaon Budruk,3
218,1200.0,2.0,1.0,65.0,Anandnagar,2
222,1460.0,3.0,1.0,73.0,Anandnagar,3
223,1300.0,1.0,1.0,115.0,Anandnagar,2
224,1662.0,3.0,3.0,85.1,Anandnagar,3
226,1535.0,3.0,1.0,78.0,Anandnagar,3
227,1730.0,3.0,1.0,96.0,Anandnagar,3
228,1400.0,2.0,1.0,73.0,Anandnagar,3
230,1757.0,3.0,2.0,132.0,Anandnagar,3
231,1200.0,2.0,1.0,125.0,Anandnagar,2
232,1200.0,4.0,1.0,83.0,Anandnagar,4
233,3555.0,4.0,1.0,230.0,Anandnagar,4
234,1450.0,3.0,3.0,132.0,Anandnagar,4
236,1290.0,2.0,1.0,85.0,Anandnagar,2
237,1800.0,3.0,3.0,90.0,Anandnagar,3
238,1776.42,3.0,2.0,105.0,Anandnagar,3
241,1000.0,2.0,1.0,65.0,Anandnagar,3
242,1128.0,2.0,1.0,65.0,Anandnagar,2
245,1418.0,2.0,2.0,103.0,Anandnagar,2
247,1340.0,2.0,1.0,77.0,Anandnagar,2
248,1419.0,2.0,3.0,73.0,Anandnagar,3
249,1891.0,3.0,1.0,109.0,Anandnagar,3
250,2592.0,4.0,2.0,250.0,Anandnagar,4
254,1750.0,3.0,2.0,130.0,Anandnagar,3
257,1045.0,2.0,1.0,58.0,Anandnagar,2
261,750.0,1.0,1.0,52.5,Anandnagar,1
262,1732.0,3.0,1.0,85.73,Anandnagar,3
266,1910.0,3.0,3.0,119.0,Anandnagar,3
267,500.0,2.0,1.0,24.0,Anandnagar,1
269,1020.0,2.0,2.0,60.0,Anandnagar,2
270,1750.0,3.0,1.0,123.0,Anandnagar,3
273,1725.0,2.0,1.0,165.0,Anandnagar,3
274,665.0,1.0,2.0,32.0,Anandnagar,1
275,2400.0,4.0,3.0,250.0,Anandnagar,4
276,1355.0,3.0,2.0,83.87,Anandnagar,3
277,1200.0,3.0,2.0,125.0,Anandnagar,4
280,645.0,1.0,0.0,42.5,Anandnagar,1
281,1613.0,3.0,0.0,150.0,Anandnagar,3
283,1280.0,2.0,1.0,100.0,Anandnagar,3
284,1115.0,2.0,2.0,60.0,Anandnagar,2
285,416.0,1.0,1.0,18.0,Anandnagar,1
286,1491.0,3.0,1.0,88.0,Anandnagar,3
287,1929.0,4.0,1.0,101.0,Anandnagar,3
289,1770.0,3.0,2.0,90.0,Anandnagar,3
291,2025.0,4.0,2.0,115.0,Anandnagar,3
292,1397.0,3.0,3.0,105.0,Anandnagar,3
293,1738.0,3.0,0.0,110.0,Anandnagar,3
297,3400.0,4.0,2.0,275.0,Anandnagar,4
298,702.0,1.0,1.0,52.0,Anandnagar,1
299,1330.0,2.0,2.0,80.0,Anandnagar,2
300,1152.0,1.0,0.0,66.0,Anandnagar,2
301,1314.0,2.0,2.0,110.0,Anandnagar,2
302,1100.0,2.0,1.0,75.0,Anandnagar,3
304,1464.0,2.0,2.0,115.0,Anandnagar,3
308,1000.0,2.0,0.0,70.0,Anandnagar,2
311,3000.0,6.0,3.0,180.0,Anandnagar,7
314,1350.0,2.0,3.0,85.0,Anandnagar,3
315,1776.0,3.0,2.0,150.0,Anandnagar,3
319,2150.0,3.0,0.0,170.0,Anandnagar,3
322,1400.0,3.0,2.0,74.0,Anandnagar,3
324,410.0,1.0,1.0,10.0,Anandnagar,1
327,1335.0,2.0,0.0,72.76,Anandnagar,2
328,1600.0,2.0,1.0,90.0,Anandnagar,2
329,1917.0,4.0,2.0,130.0,Anandnagar,4
330,1521.0,3.0,1.0,95.0,Aundh,3
331,1200.0,3.0,1.0,90.0,Aundh,3
332,1327.0,2.0,2.0,98.0,Aundh,2
333,1027.0,2.0,2.0,44.0,Aundh,2
334,1580.0,2.0,0.0,134.0,Aundh,3
335,1355.0,2.0,2.0,115.0,Aundh,2
336,820.0,2.0,1.0,30.0,Aundh,2
337,1170.0,2.0,2.0,57.0,Aundh,2
339,1464.0,2.0,3.0,105.0,Aundh,3
340,1200.0,4.0,3.0,120.0,Aundh,4
341,1180.0,2.0,2.0,75.0,Aundh,2
342,2195.0,4.0,2.0,127.0,Aundh,3
343,1192.0,2.0,1.0,71.0,Aundh,2
344,2700.0,4.0,1.0,270.0,Aundh,3
345,2690.0,4.0,3.0,191.0,Aundh,4
346,1277.0,2.0,2.0,55.0,Aundh,2
347,1270.0,2.0,2.0,70.0,Aundh,3
348,1837.0,3.0,3.0,145.0,Aundh,3
349,1875.0,3.0,3.0,110.0,Aundh,3
350,1080.0,2.0,0.0,53.35,Aundh,2
351,440.0,1.0,0.0,28.0,Aundh,1
352,1350.0,2.0,0.0,90.0,Aundh,2
354,1110.0,2.0,2.0,41.0,Aundh,2
355,630.5,1.0,0.0,32.79,Aundh,1
356,1512.0,2.0,2.0,110.0,Aundh,3
357,1355.0,3.0,1.0,83.87,Aundh,3
358,1521.0,3.0,1.0,94.71,Aundh,3
359,1299.0,2.0,2.0,85.0,Aundh,2
360,1896.0,3.0,1.0,125.0,Aundh,4
361,1140.0,2.0,2.0,50.0,Aundh,2
362,1251.0,2.0,1.0,88.73,Aundh,2
363,2388.0,4.0,3.0,239.0,Aundh,3
364,1200.0,2.0,1.0,55.0,Aundh,2
365,1322.0,2.0,2.0,86.0,Aundh,2
366,1100.0,2.0,1.0,48.0,Aundh,2
368,700.0,2.0,1.0,34.98,Aundh,2
369,1450.0,3.0,2.0,100.0,Aundh,3
370,1100.0,2.0,1.0,45.0,Aundh,2
371,1486.0,3.0,1.0,83.22,Aundh,3
372,1390.0,2.0,2.0,65.31,Aundh,2
374,1290.0,2.0,2.0,80.0,Aundh,2
375,1302.0,2.0,1.0,68.5,Aundh,2
376,1000.0,2.0,1.0,36.0,Aundh,2
377,1610.0,4.0,2.0,85.0,Aundh,3
379,1050.0,2.0,2.0,42.7,Aundh,2
380,1706.0,3.0,3.0,154.0,Aundh,3
381,1007.0,2.0,2.0,43.0,Aundh,2
382,1040.0,2.0,3.0,45.0,Aundh,2
383,1335.0,2.0,1.0,87.0,Aundh,3
384,1700.0,3.0,2.0,150.0,Aundh,3
385,3500.0,4.0,1.0,289.0,Aundh,4
386,1002.0,2.0,1.0,40.08,Aundh,2
387,1087.0,2.0,1.0,54.3,Aundh,2
390,1215.0,2.0,1.0,45.0,Aundh,2
391,1066.0,2.0,1.0,52.23,Aundh,2
392,1250.0,2.0,2.0,95.0,Aundh,2
393,1255.0,2.0,1.0,84.0,Aundh,2
394,1180.0,2.0,2.0,60.0,Aundh,2
395,3155.0,3.0,2.0,315.0,Aundh,3
396,2003.0,3.0,3.0,200.0,Aundh,3
397,1057.0,2.0,1.0,34.71,Aundh,2
398,1175.0,2.0,2.0,47.0,Aundh,2
399,700.0,1.0,0.0,35.0,Aundh,1
401,1020.0,2.0,1.0,42.83,Aundh,2
402,1140.0,2.0,2.0,49.11,Aundh,2
403,2330.0,5.0,1.0,175.0,Aundh,4
405,750.0,2.0,1.0,40.0,Aundh,2
406,1842.0,3.0,2.0,115.0,Aundh,3
407,1632.0,3.0,0.0,140.0,Aundh,4
409,1350.0,1.0,0.0,55.0,Aundh,1
410,3930.0,5.0,2.0,330.0,Aundh,4
411,1305.0,2.0,2.0,52.0,Aundh,2
412,1560.0,3.0,2.0,149.0,Aundh,4
413,1416.0,2.0,2.0,67.0,Aundh,2
414,1034.0,2.0,1.0,38.0,Aundh,2
417,1400.0,3.0,2.0,75.0,Aundh,3
418,1885.0,3.0,2.0,135.0,Aundh,3
420,5100.0,5.0,3.0,300.0,Aundh,6
422,2400.0,2.0,1.0,125.0,Aundh,2
423,540.0,1.0,0.0,22.0,Aundh,1
424,2400.0,3.0,0.0,185.0,Aundh,4
425,4723.0,4.0,3.0,500.0,Aundh,4
426,1290.0,2.0,2.0,72.0,Aundh,2
427,1482.0,3.0,1.0,110.0,Aundh,3
428,1094.0,2.0,2.0,54.0,Aundh,2
429,1234.0,2.0,2.0,80.0,Aundh,2
430,1050.0,2.0,1.0,44.41,Aundh,2
431,1810.0,3.0,2.0,97.83,Aundh,3
432,1648.0,3.0,2.0,85.0,Aundh,3
433,1703.0,3.0,2.0,120.0,Aundh,3
435,2502.0,3.0,3.0,138.0,Aundh Road,3
438,1826.0,3.0,2.0,121.0,Aundh Road,3
441,600.0,1.0,0.0,50.0,Aundh Road,1
445,1234.0,2.0,2.0,80.0,Aundh Road,2
446,1330.0,2.0,1.0,92.5,Aundh Road,2
447,2200.0,6.0,2.0,68.0,Aundh Road,6
448,1650.0,3.0,2.0,125.0,Aundh Road,3
451,2400.0,3.0,2.0,142.0,Aundh Road,4
453,2479.13,3.0,1.0,215.0,Aundh Road,3
454,3000.0,4.0,0.0,200.0,Aundh Road,4
456,2503.0,4.0,0.0,188.0,Aundh Road,4
459,1500.0,3.0,2.0,97.0,Aundh Road,3
460,7500.0,7.0,2.0,400.0,Aundh Road,7
464,1100.0,2.0,0.0,68.0,Aundh Road,2
467,605.0,1.0,1.0,40.0,Aundh Road,1
468,1200.0,2.0,1.0,100.0,Aundh Road,2
469,1600.0,2.0,2.0,115.0,Aundh Road,3
470,1369.1,2.0,1.0,104.0,Aundh Road,2
473,1948.0,3.0,2.0,130.0,Aundh Road,3
475,1810.0,3.0,2.0,126.0,Aundh Road,3
478,412.5,1.0,0.0,19.8,Aundh Road,1
480,540.0,1.0,1.0,16.5,Aundh Road,1
481,850.0,1.0,2.0,57.0,Aundh Road,1
482,1475.0,3.0,3.0,78.0,Aundh Road,3
484,905.0,1.0,1.0,52.0,Aundh Road,1
485,1293.0,2.0,2.0,85.0,Aundh Road,3
490,1600.0,3.0,2.0,112.0,Aundh Road,3
494,1000.0,2.0,1.0,70.65,Aundh Road,2
497,2134.0,4.0,2.0,118.0,Aundh Road,3
500,1290.0,2.0,0.0,90.0,Aundh Road,2
501,661.0,1.0,1.0,40.0,Aundh Road,1
503,1730.0,3.0,1.0,93.0,Aundh Road,3
504,1650.0,3.0,2.0,90.75,Aundh Road,3
506,616.0,3.0,1.0,45.0,Aundh Road,2
507,1100.0,2.0,2.0,70.0,Aundh Road,2
508,900.0,2.0,1.0,60.0,Aundh Road,2
513,645.0,1.0,1.0,41.0,Aundh Road,1
515,900.0,3.0,1.0,79.0,Aundh Road,3
516,1222.0,3.0,2.0,95.0,Aundh Road,3
518,1130.0,2.0,2.0,68.0,Aundh Road,2
519,1000.0,2.0,0.0,66.0,Aundh Road,2
528,1293.0,2.0,2.0,80.0,Aundh Road,2
529,1245.0,2.0,2.0,80.0,Aundh Road,2
531,1300.0,2.0,3.0,69.0,Aundh Road,3
537,1500.0,3.0,3.0,90.0,Aundh Road,3
538,2140.0,3.0,2.0,139.0,Aundh Road,3
539,1000.0,2.0,0.0,66.0,Aundh Road,2
543,1170.0,2.0,1.0,38.0,Balaji Nagar,2
544,1783.0,3.0,1.0,115.0,Balaji Nagar,3
545,1349.0,2.0,1.0,98.2,Balaji Nagar,2
546,1245.0,2.0,1.0,94.0,Balaji Nagar,2
547,540.0,1.0,1.0,36.0,Balaji Nagar,1
549,1342.0,2.0,1.0,73.3,Balaji Nagar,2
551,1937.0,3.0,2.0,160.0,Balaji Nagar,3
552,1400.0,2.0,2.0,78.0,Balaji Nagar,2
553,1200.0,2.0,0.0,71.0,Balaji Nagar,2
554,1440.0,2.0,2.0,98.0,Balaji Nagar,2
555,1297.0,2.0,2.0,103.0,Balaji Nagar,2
556,1200.0,3.0,1.0,72.0,Balaji Nagar,2
557,1240.0,2.0,1.0,44.0,Balaji Nagar,2
558,1846.0,3.0,2.0,140.0,Balaji Nagar,3
559,2045.0,4.0,3.0,154.0,Balaji Nagar,3
560,1238.0,2.0,3.0,55.0,Balaji Nagar,2
561,983.0,2.0,1.0,50.6,Balaji Nagar,2
562,1583.0,3.0,3.0,105.0,Balaji Nagar,3
563,2524.0,5.0,2.0,190.0,Balaji Nagar,4
564,3200.0,4.0,1.0,205.0,Balaji Nagar,4
565,1700.0,2.0,3.0,100.0,Balaji Nagar,3
566,1493.0,3.0,2.0,82.0,Balaji Nagar,3
567,3181.0,4.0,0.0,260.5,Balaji Nagar,4
568,1156.0,2.0,2.0,49.5,Balaji Nagar,2
569,1697.0,3.0,2.0,115.0,Balaji Nagar,3
570,1350.0,2.0,1.0,87.01,Balaji Nagar,3
571,1650.0,3.0,3.0,100.0,Balaji Nagar,3
572,995.0,2.0,1.0,34.82,Balaji Nagar,2
574,1532.0,3.0,2.0,83.0,Balaji Nagar,3
575,1128.0,2.0,1.0,65.5,Balaji Nagar,2
576,1355.0,2.0,3.0,75.0,Balaji Nagar,2
577,990.0,2.0,1.0,40.0,Balaji Nagar,2
578,3600.0,4.0,0.0,260.0,Balaji Nagar,4
579,1656.0,3.0,2.0,150.0,Balaji Nagar,3
580,1600.0,4.0,3.0,112.0,Balaji Nagar,4
582,1041.0,2.0,1.0,36.44,Balaji Nagar,2
583,1246.0,2.0,1.0,62.3,Balaji Nagar,2
584,4830.0,5.0,1.0,390.0,Balaji Nagar,4
585,4400.0,4.0,1.0,350.0,Balaji Nagar,5
586,1100.0,2.0,3.0,62.0,Balaji Nagar,2
587,709.0,1.0,0.0,34.735,Balaji Nagar,1
590,1917.0,4.0,2.0,100.0,Balaji Nagar,3
591,1303.0,2.0,1.0,55.79,Balaji Nagar,2
592,1200.0,2.0,0.0,66.0,Balaji Nagar,3
594,1519.0,2.0,3.0,65.0,Balaji Nagar,2
595,2010.0,3.0,3.0,125.0,Balaji Nagar,3
596,1450.0,3.0,2.0,75.0,Balaji Nagar,3
597,1200.0,2.0,0.0,90.0,Balaji Nagar,2
598,4250.0,6.0,3.0,150.0,Balaji Nagar,6
599,1185.0,2.0,2.0,41.0,Balaji Nagar,2
600,907.0,2.0,2.0,38.0,Balaji Nagar,2
601,4003.0,6.0,3.0,300.0,Balaji Nagar,4
602,1369.1,2.0,1.0,98.0,Balaji Nagar,2
603,1180.0,2.0,2.0,52.0,Balaji Nagar,2
604,1375.0,2.0,1.0,78.0,Balaji Nagar,2
605,1280.0,2.0,2.0,60.16,Balaji Nagar,2
606,620.0,1.0,1.0,23.5,Balaji Nagar,2
607,1536.0,3.0,1.0,104.0,Balaji Nagar,3
608,1205.0,2.0,1.0,63.86,Balaji Nagar,2
609,1140.0,2.0,1.0,48.7,Balaji Nagar,2
610,2215.0,4.0,2.0,150.0,Balaji Nagar,3
611,745.0,1.0,0.0,34.27,Balaji Nagar,1
612,900.0,2.0,1.0,42.0,Balaji Nagar,2
613,1044.0,2.0,2.0,34.0,Balaji Nagar,2
614,2710.0,3.0,2.0,170.0,Balaji Nagar,3
615,1150.0,1.0,0.0,52.0,Balaji Nagar,1
616,1180.0,2.0,1.0,71.22,Balaji Nagar,2
618,1046.0,2.0,1.0,60.0,Balaji Nagar,2
619,1125.0,2.0,1.0,54.8,Balaji Nagar,2
620,2648.0,3.0,3.0,238.0,Balaji Nagar,3
621,1116.0,2.0,1.0,47.0,Balaji Nagar,2
622,1300.0,2.0,2.0,66.0,Balaji Nagar,2
624,1282.0,2.0,1.0,72.0,Balaji Nagar,2
625,1276.0,2.0,2.0,80.0,Balaji Nagar,2
627,1717.0,3.0,2.0,110.0,Balaji Nagar,3
628,3000.0,8.0,0.0,150.0,Balaji Nagar,8
629,1300.0,3.0,1.0,69.0,Balaji Nagar,3
630,1645.0,3.0,2.0,87.0,Balaji Nagar,3
632,1660.0,3.0,2.0,104.0,Balaji Nagar,3
633,1320.0,2.0,1.0,50.0,Balaji Nagar,2
635,1171.0,2.0,2.0,73.0,Balaji Nagar,2
636,812.0,2.0,1.0,42.0,Balaji Nagar,2
637,1875.0,2.0,1.0,110.0,Balaji Nagar,3
638,1000.0,2.0,1.0,35.0,Balaji Nagar,2
639,1938.0,3.0,3.0,113.0,Balaji Nagar,3
640,1745.0,3.0,2.0,130.0,Balaji Nagar,3
641,1584.0,3.0,2.0,101.0,Balaji Nagar,3
642,1050.0,2.0,2.0,35.0,Balaji Nagar,2
643,1500.0,3.0,2.0,85.0,Balaji Nagar,3
645,509.0,1.0,1.0,23.0,Balaji Nagar,1
646,1310.0,2.0,2.0,53.0,Balaji Nagar,2
647,2400.0,2.0,1.0,150.0,Baner,3
649,1005.0,2.0,1.0,50.0,Baner,2
650,1145.0,2.0,2.0,45.79,Baner,2
652,715.0,1.0,2.0,46.0,Baner,1
653,1640.0,2.0,1.0,120.0,Baner,3
654,1105.0,2.0,2.0,58.0,Baner,2
655,1345.0,2.0,1.0,67.0,Baner,2
657,1128.0,2.0,1.0,65.49,Baner,2
658,500.0,1.0,1.0,25.0,Baner,1
659,650.0,1.0,2.0,38.0,Baner,1
